method,scenario,n,throughput_mbps_mean,throughput_mbps_std,embb_throughput_mbps_mean,embb_throughput_mbps_std,urllc_throughput_mbps_mean,urllc_throughput_mbps_std,center_embb_throughput_mbps_mean,center_embb_throughput_mbps_std,edge_embb_throughput_mbps_mean,edge_embb_throughput_mbps_std,min_embb_throughput_mbps_mean,min_embb_throughput_mbps_std,min_embb_satisfaction_ratio_mean,min_embb_satisfaction_ratio_std,mean_embb_satisfaction_ratio_mean,mean_embb_satisfaction_ratio_std,latency_violation_mean,latency_violation_std,rate_deficit_cost_mean,rate_deficit_cost_std,rate_violation_fraction_mean,rate_violation_fraction_std,drop_ratio_mean,drop_ratio_std,packet_deadline_miss_ratio_mean,packet_deadline_miss_ratio_std,worst_urllc_deadline_miss_ratio_mean,worst_urllc_deadline_miss_ratio_std,urllc_delay_p95_ms_mean,urllc_delay_p95_ms_std,urllc_delay_p99_ms_mean,urllc_delay_p99_ms_std,jain_fairness_mean,jain_fairness_std,avg_prb_embb_mean,avg_prb_embb_std,avg_prb_urllc_mean,avg_prb_urllc_std,avg_safety_reserved_prbs_mean,avg_safety_reserved_prbs_std,safety_activation_fraction_mean,safety_activation_fraction_std,safety_cap_hit_fraction_mean,safety_cap_hit_fraction_std,avg_urllc_class_share_mean,avg_urllc_class_share_std,std_urllc_class_share_mean,std_urllc_class_share_std,avg_embb_sla_weight_mean,avg_embb_sla_weight_std,avg_reference_urllc_share_mean,avg_reference_urllc_share_std,avg_reference_embb_weight_mean,avg_reference_embb_weight_std,avg_delta_rho_mean,avg_delta_rho_std,std_delta_rho_mean,std_delta_rho_std,avg_delta_beta_mean,avg_delta_beta_std,std_delta_beta_mean,std_delta_beta_std,inference_us_mean,inference_us_std
PF,nominal_hetero,5,19.65892832,0.1707652243413519,14.735929279999999,0.11756798285601416,4.9229990400000005,0.057408260549576096,8.99867488,0.001085587413339409,5.7372544,0.11709030141903355,1.56678,0.10042357652264741,1.2118222424242422,0.000381645198910196,1.3970710959595958,0.017254928902390273,0.2678900003433228,0.029092521667572948,0.00023161042481660842,0.00032081903955459584,0.0044800000000000005,0.007630124871557186,0.0011715393422415167,0.001822508559660063,0.2636940300010623,0.024426676888312453,0.7095079154314758,0.08771666990712298,260.55999999999915,136.0601631632116,490.92199999999866,227.87260173175684,0.8691687424127602,0.004348644446122981,70.98563999999999,0.5162427558813749,35.014359999999996,0.5162427558813775,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,17.2,4.519402615390667
PF,load_surge,5,22.216205600000002,0.32114087937053487,17.34677616,0.25911522442058105,4.86942944,0.08177722363475078,10.74429216,0.002276671985157153,6.602484000000001,0.2597977135726947,1.84752976,0.27807723626785424,1.443352026936027,0.00819496469491717,1.634495522671156,0.04072651352092428,0.2147849977016449,0.06458519044018482,7.098765308910515e-09,1.5873321787041206e-08,3.333333333333333e-06,7.453559924999298e-06,0.006831427798185521,0.006480184117235022,0.21359477848999586,0.05830792116832228,0.5663056687413632,0.1546744526496828,186.55999999999986,173.15301903230005,381.6,265.0232065310508,0.8293430301702653,0.00847391656647024,68.65892,0.30982202471741943,37.34108,0.3098220247174171,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,17.2,4.56508488420533
PF,edge_fade,5,17.86925648,0.1577625859824555,13.61289072,0.14575478254833374,4.2563657599999996,0.17863919860939825,9.000415199999999,0.0037139750349185884,4.612475519999999,0.14556563937699019,1.0930356800000003,0.12311462085663102,1.0109231851851852,0.1127415791184091,1.2336541628507294,0.02126127365504781,0.3846499979496002,0.019201337495926927,0.0035273849032819273,0.005028915422231426,0.04599666666666667,0.06299216485669733,0.06094393172756048,0.006893732232624371,0.32307357616528465,0.019306744900373565,0.7678085025919321,0.08673725379352575,1287.0,442.2934546203459,1754.4279999999999,821.8411013815263,0.8098215935063424,0.007106260341352758,70.28792000000001,0.4161029403885549,35.71208,0.41610294038855306,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,17.18,4.491881565669336
PF,bursty_urllc,5,21.5347664,0.3200025942959863,14.879586719999997,0.041661119007919294,6.655179680000001,0.31403270453867055,9.000377760000001,0.0028378311380343104,5.87920896,0.042752991022944824,1.6980950400000001,0.05528373697180755,1.2121768484848485,0.0007517773736070069,1.418388331537598,0.006812773999284084,0.5580299973487854,0.007932332748099622,0.0003722173161804676,0.0005231564674404503,0.007673333333333333,0.010258564172869852,0.054872983530262764,0.014349997166133603,0.6069385971097472,0.013680272230452407,0.9373464148348247,0.040059240895630135,710.2,143.78177909596195,848.8,149.6452471680942,0.9274846338748632,0.009116062261047378,69.90094,0.2571992573861767,36.09906,0.25719925738617505,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,17.080000000000002,4.266966135323785
PF,mixed_dynamic,5,21.541763999999997,0.16213824757015147,16.008096799999997,0.14230705212940153,5.5336672,0.1358444820638657,10.428328160000001,0.003757205787284032,5.57976864,0.14304035105370805,1.3424223999999998,0.1149117602267061,1.2429837037037035,0.1063997779876909,1.4631591800224466,0.02093682243258865,0.4598599970340729,0.035491984980924964,0.0003431451506912708,0.0007672958830950906,0.0076300000000000005,0.017061198668323393,0.062075972758192974,0.006342995158101308,0.4549927330957577,0.03570348627351776,0.9413866341868895,0.03473613156470326,876.1699999999997,109.54996348698634,1204.4,141.43302301796422,0.8394600730483436,0.006213925555406253,68.03792000000001,0.2507150015455743,37.96208,0.25071500154558046,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,14.160000000000002,0.1816590212458498
PF,hotspot_unseen,5,19.545146879999997,0.24176319986075614,14.68687088,0.22002522931016746,4.858276000000001,0.108380931705905,8.8728504,0.07721513479208648,5.81402048,0.21498622357619085,1.6309790400000002,0.22464336106559663,1.1958454208754208,0.030453082455911724,1.3984676322109988,0.03324713379518135,0.37164499759674074,0.03008760010525716,3.871327862725593e-07,8.6565522642434e-07,0.00011333333333333331,0.00025342103744997616,0.12088774258456776,0.010710506014218342,0.40791480265709235,0.01953612983277024,0.8391746990353658,0.05506683068195454,1070.4900000000002,132.44244221547726,1367.89,243.35811328164078,0.8693866179063148,0.0073368528660273605,70.14984,0.049420471466788775,35.85016,0.04942047146679087,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,15.639999999999997,3.6122015447646336
PF,tight_sla,5,19.73385216,0.19660322554293874,14.858060959999998,0.11463590609493934,4.8757912,0.10255039743345701,9.0012568,0.004762822121389732,5.856804159999999,0.11480969992665267,1.66553952,0.11914231707077046,1.2124390303030304,0.0008824701692593624,1.4147351062850728,0.017804872534162127,0.2824999988079071,0.028455651934919328,5.4176486446522174e-05,0.00010469995715926798,0.0006899999999999999,0.001038134009760889,0.0015305259004736063,0.0016621849028979137,0.28588715547593363,0.023163741419600214,0.753218081827631,0.14154109950196594,315.05999999999915,191.18668363670074,543.4839999999997,283.56576182607085,0.8698426265855146,0.00633497309643345,71.10113999999999,0.31400444742073386,34.89886,0.3140044474207335,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,17.139999999999997,4.216989447461305
EDF,nominal_hetero,5,7.941953280000002,0.11064490501,2.9876403200000006,0.09123802877590026,4.95431296,0.03793414368465445,2.87268016,0.11624668568440133,0.11496016,0.06203886826923909,0.004987360000000001,0.0030314220240672527,0.004109022222222222,0.002559158000033566,0.2024276842873176,0.005090914594353827,0.0052500000223517414,0.0037620224763878695,0.7728496551513672,0.016279844192341374,0.9521466666666667,0.01515285726631563,0.5063198118759923,0.005520901687630467,0.014155400021837697,0.009174504945270738,0.020936031548708572,0.014325659412193421,4.4,0.5477225575051662,7.6,1.816590212458495,0.5726891349692067,0.0189021349101074,4.88872,0.15368172305124667,101.11128,0.15368172305124753,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,8.3,1.7888543819998315
EDF,load_surge,5,8.00582464,0.20284127016948003,3.1147604799999997,0.2794692172418849,4.89106416,0.09127700036859229,3.0004211199999995,0.2505804337399709,0.11433936,0.05662110554738402,0.007754559999999999,0.008994292757521295,0.006556355555555555,0.0074632188345806596,0.2114661585858586,0.019498265081987057,0.004139999952167272,0.003276268753620878,0.7587674617767334,0.022042749732253064,0.9600866666666666,2.9814239699944263e-05,0.5650904650705034,0.010116094508113785,0.010874831136884098,0.007229927403673282,0.017310232301307044,0.010454470012217235,4.4,0.5477225575051662,7.2,1.3038404810405297,0.5837717002181473,0.03424862303396312,5.1622,0.4908727126251773,100.8378,0.4908727126251768,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,8.42,2.00174923504419
EDF,edge_fade,5,6.90216848,0.29449626294490056,1.9837671999999997,0.31181804880975056,4.918401279999999,0.038534387778606266,1.92947248,0.29761576758584535,0.05429472,0.03169197613327386,0.0,0.0,0.0,0.0,0.13373959416386083,0.021201658848722504,0.10813499987125397,0.05833976322880358,0.7855064749717713,0.021529109115822006,0.94934,0.016833055278231566,0.5570780810069914,0.015286218494918404,0.17126070858330442,0.07128210288504888,0.2286693466921245,0.09213319331813925,13.8,4.207136793592526,26.8,5.932958789676531,0.5855949580454058,0.007834729470334971,3.2648,0.5431918261535238,102.73519999999999,0.5431918261535247,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,8.2,1.5652475842498528
EDF,bursty_urllc,5,9.401988800000002,0.16306685581858663,1.4263024,0.1958944766755815,7.975686399999999,0.06561451909570072,1.3625358399999998,0.18644618764192517,0.06376656,0.029417989594940033,0.00377952,0.0057283607037266785,0.0032602666666666667,0.0048327245961488656,0.09785757856341189,0.01346197638763886,0.08792500048875809,0.044651081175454514,0.8364608407020568,0.01216654786382835,0.9600766666666665,5.2174919474939694e-05,0.5080395207527186,0.007110754238005794,0.16524299419535965,0.07580400750280979,0.20868165283299905,0.08935687666960954,15.6,6.18869937870632,31.8,9.884331034521255,0.5086956119860112,0.012534158635948837,2.34048,0.2890711538704615,103.65952,0.289071153870464,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,7.580000000000001,0.08366600265340758
