method,seed,rollout,step,reward_mean,lat_cost,rate_cost,drop_cost,lambda_lat,lambda_rate,lambda_drop,rho_mean,rho_std,beta_mean,rho_ref_mean,beta_ref_mean,delta_rho_mean,delta_rho_std,delta_beta_mean,delta_beta_std,policy_log_std_mean,loss,steps_train_nominal,steps_train_load,steps_train_edge,steps_train_burst,steps_train_joint
ReferenceResidual-Unconstrained-PPO,0,16,69632,0.1615971177816391,0.1962890625,0.026958422735333443,0.03493349254131317,0.0,0.0,0.0,0.54647801026806,0.3037276663258606,2.3733271693355595,0.5605964147586264,2.448401416312666,-0.014118404490566488,0.04202365653921921,-0.07507424697710688,0.4582897692096366,-1.1116206645965576,4.143279401957988,0,0,4096,0,0
ReferenceResidual-Unconstrained-PPO,0,17,73728,0.2260323166847229,0.0025634765625,0.0060087633319199085,0.007815373130142689,0.0,0.0,0.0,0.3179585660347634,0.2634279632489929,1.093795490575522,0.3211178113652887,1.1677914853163807,-0.0031592453305252276,0.04661732276244744,-0.0739959947408586,0.46110404769740143,-1.1138454675674438,1.2395932057872414,0,3728,368,0,0
ReferenceResidual-Unconstrained-PPO,0,18,77824,0.21138644218444824,0.03009033203125,0.0,0.0,0.0,0.0,0.0,0.3074033394785497,0.25224688545995066,1.231078830976019,0.3105193902572473,1.3101692144469974,-0.003116050778697577,0.04683193041582361,-0.07909038347097849,0.4626262992908021,-1.1134603023529053,1.5955511044710875,0,1272,0,0,2824
ReferenceResidual-Unconstrained-PPO,0,19,81920,0.2109161764383316,0.21112060546875,0.00026385640376247466,0.02103252522647381,0.0,0.0,0.0,0.4649034572769416,0.30562606317404367,1.819946124803117,0.469091039396762,1.8984646683397945,-0.004187582119820408,0.04411579434904178,-0.07851854353667762,0.46339999159870804,-1.1142596006393433,4.581549551337957,0,1920,0,0,2176
ReferenceResidual-Unconstrained-PPO,0,20,86016,0.2227122187614441,0.0133056640625,0.0,0.0,0.0,0.0,0.0,0.2750021564329054,0.2383949125859046,1.0062371065770659,0.27675104424504954,1.0859774948491814,-0.001748887812144142,0.045740466531857926,-0.07974038827211527,0.4540009664394796,-1.1098403930664062,1.7165161797776818,1016,3080,0,0,0
ReferenceResidual-Unconstrained-PPO,0,21,90112,0.19884896278381348,0.0147705078125,0.0,0.0,0.0,0.0,0.0,0.33802499156138455,0.2717944544823382,1.1107094348745812,0.3501493875112114,1.220412522285573,-0.012124395949826837,0.046700371145403145,-0.10970308741099191,0.4602230865242965,-1.1154470443725586,1.7699179649353027,3984,0,0,112,0
ReferenceResidual-Unconstrained-PPO,0,22,94208,0.23333188891410828,0.18048095703125,0.0,0.0,0.0,0.0,0.0,0.530528151773803,0.2821586376798671,1.5307965543627386,0.5457614608286288,1.6647049848837692,-0.015233309054825808,0.04586515241689784,-0.13390843052103057,0.44511047363863876,-1.1180875301361084,3.199172105640173,0,0,0,4096,0
ReferenceResidual-Unconstrained-PPO,0,23,98304,0.18651410937309265,0.04833984375,0.0010602284455671906,0.0,0.0,0.0,0.0,0.36461306552443645,0.2992892073832642,1.6133618583749092,0.3692860590917993,1.6817512307907383,-0.00467299356736282,0.04333810218289716,-0.06838937241582935,0.4562384233362761,-1.1205487251281738,2.9902505330741405,0,0,3304,792,0
ReferenceResidual-Unconstrained-PPO,0,24,102400,0.17422518134117126,0.1112060546875,0.005289091262966394,0.024767182767391205,0.0,0.0,0.0,0.42946801755496067,0.30331076410255864,1.8956770845174435,0.4350787724670805,1.946744951077818,-0.0056107549121197885,0.04555791923797123,-0.05106786656037431,0.4457523989474184,-1.1181306838989258,3.595174241811037,0,0,4096,0,0
ReferenceResidual-Unconstrained-PPO,0,25,106496,0.17332184314727783,0.1494140625,0.024116072803735733,0.039246439933776855,0.0,0.0,0.0,0.516529986864176,0.30786153783368075,2.36272313336998,0.5253333863895593,2.4100347855705118,-0.008803399525383145,0.043625805692241844,-0.04731165220053225,0.4542571145927792,-1.1148959398269653,5.493911851942539,0,1496,2600,0,0
ReferenceResidual-Unconstrained-PPO,0,26,110592,0.22292974591255188,0.00689697265625,0.0002720038464758545,0.0,0.0,0.0,0.0,0.33357455884504184,0.2750766304673847,1.2238390319383126,0.33514815336725146,1.2183171879834287,-0.0015735945222096527,0.04671748979542904,0.005521843954883709,0.4593697954485726,-1.1054835319519043,1.4524494944140316,0,3504,0,592,0
ReferenceResidual-Unconstrained-PPO,0,27,114688,0.2339765429496765,0.04095458984375,0.000808036420494318,0.0,0.0,0.0,0.0,0.43369479315872966,0.2700512337317332,1.2609207643066642,0.43754062868514154,1.3085341144554852,-0.0038458355264118288,0.04815233642977685,-0.047613350148820954,0.4540047221398573,-1.1037153005599976,1.1038340726867317,0,0,0,4096,0
ReferenceResidual-Unconstrained-PPO,0,28,118784,0.19205540418624878,0.2952880859375,0.0,0.02518896386027336,0.0,0.0,0.0,0.4455186984865438,0.3077757603821798,2.073645508824513,0.45481684846698117,2.0739714667621527,-0.00929814998043727,0.04413224674423893,-0.0003259579376398442,0.47114264944552187,-1.1075035333633423,2.8619651339948176,0,0,0,312,3784
ReferenceResidual-Unconstrained-PPO,0,29,122880,0.18606480956077576,0.2423095703125,0.0017814417369663715,0.11417445540428162,0.0,0.0,0.0,0.5296471268505838,0.3022821500476218,2.2144689828310717,0.5410681867048923,2.224930070890017,-0.011421059854308548,0.04234935497636711,-0.01046108805894516,0.4675707812414597,-1.0988279581069946,3.6992487464100123,2880,0,0,0,1216
ReferenceResidual-Unconstrained-PPO,0,30,126976,0.206762433052063,0.01104736328125,0.0,0.0030175780411809683,0.0,0.0,0.0,0.34487339560827845,0.27762751139522307,1.2980902274557877,0.34527436059181926,1.2750908609230427,-0.00040096498354084097,0.045000131659404925,0.02299936653274516,0.4716322229348531,-1.0860791206359863,1.5559114277362824,2120,0,0,0,1976
