method,scenario,seed,throughput_mbps,embb_throughput_mbps,urllc_throughput_mbps,center_embb_throughput_mbps,edge_embb_throughput_mbps,min_embb_throughput_mbps,min_embb_satisfaction_ratio,mean_embb_satisfaction_ratio,latency_violation,rate_deficit_cost,rate_violation_fraction,rate_violation,drop_ratio,packet_deadline_miss_ratio,worst_urllc_deadline_miss_ratio,urllc_delay_p50_ms,urllc_delay_p95_ms,urllc_delay_p99_ms,jain_fairness,avg_prb_embb,avg_prb_urllc,avg_safety_reserved_prbs,safety_activation_fraction,safety_cap_hit_fraction,observed_urllc_packets,inference_us,avg_urllc_class_share,avg_embb_sla_weight,avg_reference_urllc_share,avg_reference_embb_weight,avg_delta_rho,avg_delta_beta,std_urllc_class_share,std_delta_rho,std_delta_beta,lambda_lat,lambda_rate,lambda_drop
PF,bursty_urllc,1,21.918824800000003,14.9168712,7.0019536,9.0020752,5.914796,1.7392896,1.2124075757575756,1.4244455404040404,0.5687999725341797,0.0,0.0,0.0,0.04179979276971028,0.6239559534064947,0.9943988797759552,84.0,551.0,692.0,0.9379388523361302,69.619,36.381,0.0,0.0,0.0,26699,14.0,,,,,,,,,,,,
PF,mixed_dynamic,1,21.388992,15.7598376,5.629154399999999,10.4300976,5.32974,1.1568064,1.0711170370370369,1.4268617093153761,0.4360499978065491,0.0,0.0,0.0,0.06681626536542384,0.42608253616156017,0.960539979231568,2.0,918.0,1351.0,0.8356061787121855,67.6406,38.3594,0.0,0.0,0.0,21639,14.0,,,,,,,,,,,,
PF,hotspot_unseen,1,19.649676799999998,14.681210400000001,4.9684664000000005,8.797732,5.8834783999999996,1.6985432,1.202078148148148,1.4031985606060606,0.37267500162124634,0.0,0.0,0.0,0.12059355421263075,0.4223011808966454,0.8097073769055546,2.0,866.0,1020.0,0.877246574767921,70.1067,35.8933,0.0,0.0,0.0,19138,13.9,,,,,,,,,,,,
PF,tight_sla,1,20.003776799999997,14.9720288,5.031748,8.9977528,5.974276,1.7883792,1.2114351515151516,1.4327762721661055,0.2741999924182892,3.0954048270359635e-05,0.0011166666666666666,0.0011166666666666666,0.0008207006496375538,0.28126398210290826,0.7450340136054422,1.0,279.0,592.4199999999983,0.8784850469280812,71.2468,34.7532,0.0,0.0,0.0,17880,21.4,,,,,,,,,,,,
PF,nominal_hetero,2,19.8781912,14.884639199999999,4.993552,8.999212,5.8854272000000005,1.7231352000000002,1.2113133333333332,1.420274358024691,0.29317501187324524,0.0,0.0,0.0,0.0,0.2856818310899074,0.7583732057416268,1.0,396.0,555.8199999999961,0.8750333875548163,70.876,35.124,0.0,0.0,0.0,17607,22.1,,,,,,,,,,,,
PF,load_surge,2,21.9099656,17.1123664,4.7975992000000005,10.7469392,6.365427200000001,1.5430112,1.428714074074074,1.5951026958473624,0.21952499449253082,0.0,0.0,0.0,0.014993195720173517,0.22245614035087719,0.5488165680473372,1.0,108.0,215.0,0.8194377791409556,68.4969,37.5031,0.0,0.0,0.0,17100,22.2,,,,,,,,,,,,
PF,edge_fade,2,18.0049568,13.575068799999999,4.429888,8.9938296,4.5812392,1.0350664,0.9583948148148148,1.227597475308642,0.3914499878883362,0.006838357541710138,0.11646666666666668,0.11646666666666668,0.05219943916952589,0.33755248585164,0.789571201694018,1.0,881.0,1097.0,0.8162557047419852,69.8935,36.1065,0.0,0.0,0.0,16433,22.1,,,,,,,,,,,,
PF,bursty_urllc,2,21.493656,14.9208496,6.5728064,8.998347200000001,5.9225024,1.7643864,1.211660909090909,1.4252348243546578,0.5600000023841858,0.0012460211291909218,0.02415,0.02415,0.05510085701651966,0.6070590046572495,0.9538961038961039,80.0,811.0,943.0,0.9275809358696814,69.6547,36.3453,0.0,0.0,0.0,25981,22.0,,,,,,,,,,,,
PF,mixed_dynamic,2,21.487176799999997,16.0219928,5.465184000000001,10.428158400000001,5.5938344,1.3166896,1.2191570370370368,1.4639587721661054,0.5208500027656555,0.0,0.0,0.0,0.06715493022527741,0.5089152352501867,0.9438401214267644,7.0,870.0,1260.0,0.8361104047271826,68.2139,37.7861,0.0,0.0,0.0,21424,14.3,,,,,,,,,,,,
PF,hotspot_unseen,2,19.185832,14.316393600000001,4.8694384,8.8842472,5.4321464,1.2332512,1.1418992592592592,1.3400851077441078,0.3536500036716461,1.9356639313627966e-06,0.0005666666666666666,0.0005666666666666666,0.13035346045156684,0.39197448844007443,0.7792613143748917,2.0,1006.0,1368.0,0.8576891796051651,70.1886,35.8114,0.0,0.0,0.0,18815,22.1,,,,,,,,,,,,
PF,tight_sla,2,19.664781599999998,14.8552968,4.8094848,9.0049384,5.850358399999999,1.6577432,1.2131118181818183,1.4139589758698092,0.25312501192092896,0.00023992838396225125,0.0023333333333333327,0.0023333333333333327,0.002002956851041217,0.2510008703220191,0.8481913984619767,1.0,440.0,757.0,0.8673485580036221,70.6601,35.3399,0.0,0.0,0.0,17235,22.1,,,,,,,,,,,,
PF,nominal_hetero,3,19.6767432,14.7746448,4.9020984,8.999007200000001,5.7756376,1.5777576,1.2119454545454547,1.4019132609427611,0.25554999709129333,0.0,0.0,0.0,0.0,0.24941189970738425,0.7342968315730961,1.0,305.0,510.0,0.869222159910929,71.0602,34.9398,0.0,0.0,0.0,17429,22.2,,,,,,,,,,,,
PF,load_surge,3,22.303077599999998,17.4918256,4.811252,10.744095999999999,6.7477295999999996,2.138544,1.4463760606060605,1.6608498681257011,0.1739249974489212,0.0,0.0,0.0,0.0,0.17535572661534873,0.4935860058309038,1.0,106.0,276.0,0.8323666467636366,69.2116,36.7884,0.0,0.0,0.0,17148,22.2,,,,,,,,,,,,
PF,edge_fade,3,17.946624,13.729008799999999,4.2176152,9.002168,4.7268408,1.2025632,1.10775,1.2508115,0.37185001373291016,0.0,0.0,0.0,0.058831797858485975,0.30865107140664333,0.7143322475570033,1.0,1192.0,1390.1399999999994,0.8123197909656067,70.8508,35.1492,0.0,0.0,0.0,16287,22.1,,,,,,,,,,,,
PF,bursty_urllc,3,21.050927999999995,14.863065599999999,6.1878624,9.002714399999999,5.8603512,1.6784296,1.2133906060606061,1.4155149713804713,0.5480999946594238,0.0,0.0,0.0,0.07807074428034036,0.5869480570049062,0.9363615920845514,116.0,897.0,1033.0,0.9130490544466686,70.1132,35.8868,0.0,0.0,0.0,25682,21.5,,,,,,,,,,,,
PF,mixed_dynamic,3,21.7365376,16.0739088,5.6626288,10.4224304,5.6514784,1.4092639999999999,1.3048740740740739,1.4738764534231201,0.4462999999523163,0.0,0.0,0.0,0.054458509646873814,0.44817129204190403,0.9824347401805318,2.0,822.8499999999985,1246.0,0.847660822250954,67.9565,38.0435,0.0,0.0,0.0,21764,14.4,,,,,,,,,,,,
PF,hotspot_unseen,3,19.550096,14.7830128,4.7670832,8.8346392,5.948373599999999,1.7816664,1.210901515151515,1.4169871043771043,0.36594998836517334,0.0,0.0,0.0,0.12604443589287592,0.40663745190252243,0.8554979850316637,2.0,1160.4500000000007,1706.8899999999994,0.869468408702074,70.087,35.913,0.0,0.0,0.0,18712,14.1,,,,,,,,,,,,
PF,tight_sla,3,19.8208232,14.890583199999998,4.9302399999999995,8.996232,5.8943512,1.6991800000000001,1.212090303030303,1.4200756924803593,0.2922999858856201,0.0,0.0,0.0,0.0,0.2962035403267118,0.638273381294964,1.0,194.59999999999854,342.0,0.8732761624184994,71.3035,34.6965,0.0,0.0,0.0,17569,14.2,,,,,,,,,,,,
PF,nominal_hetero,4,19.7435376,14.771500799999998,4.9720368,8.9979424,5.773558400000001,1.576184,1.211540606060606,1.4015933787878787,0.23542499542236328,0.0,0.0,0.0,0.0,0.2338104976141786,0.6792604501607717,1.0,115.0,304.0,0.8714591221586425,70.7374,35.2626,0.0,0.0,0.0,17604,14.0,,,,,,,,,,,,
PF,load_surge,4,22.146659999999997,17.2402928,4.9063672,10.74088,6.4994128,1.7251591999999998,1.447561212121212,1.6208500353535353,0.13269999623298645,0.0,0.0,0.0,0.008369511385779736,0.13863832232117207,0.3732112192329708,1.0,34.79999999999927,137.0,0.8296099996844192,68.515,37.485,0.0,0.0,0.0,17405,14.0,,,,,,,,,,,,
PF,edge_fade,4,17.973184,13.7408296,4.2323544,9.0019656,4.7388639999999995,1.1867632000000001,1.098854814814815,1.2521585796857464,0.3869999945163727,0.0,0.0,0.0,0.06028563622770804,0.33383260439757956,0.7924237757930397,1.0,1575.0,2029.0,0.8131399958118231,70.1034,35.8966,0.0,0.0,0.0,16691,14.0,,,,,,,,,,,,
PF,bursty_urllc,4,21.6957408,14.8198224,6.8759184,9.0023544,5.817468,1.6234384,1.2118484848484847,1.4087077968574635,0.5527999997138977,0.0001562416146043688,0.0031666666666666666,0.0031666666666666666,0.04417377415400226,0.6136234840757112,0.9122735599430083,70.0,601.0,702.0,0.9313215777615929,70.1804,35.8196,0.0,0.0,0.0,26469,14.0,,,,,,,,,,,,
PF,mixed_dynamic,4,21.690920799999997,16.1103096,5.5806112,10.432632,5.677677600000001,1.4520552,1.3444955555555556,1.4781337873176208,0.4600749909877777,0.0,0.0,0.0,0.05586535862970019,0.46980895272625856,0.8899873257287706,4.0,738.0,973.0,0.8444673505437643,68.1181,37.8819,0.0,0.0,0.0,21513,14.0,,,,,,,,,,,,
PF,hotspot_unseen,4,19.4932448,14.763952799999998,4.729292,8.848249599999999,5.915703199999999,1.7328344000000002,1.2127166666666667,1.4121296666666667,0.421750009059906,0.0,0.0,0.0,0.12467655144551489,0.43235152616667555,0.9243672748675692,2.0,1166.0,1351.0,0.8690679478748298,70.1735,35.8265,0.0,0.0,0.0,18707,14.1,,,,,,,,,,,,
PF,tight_sla,4,19.708251999999998,14.904905599999998,4.803346400000001,9.007416,5.8974896,1.712532,1.2135857575757574,1.4215698114478112,0.3266249895095825,0.0,0.0,0.0,0.004206009272503676,0.31418156570039923,0.9367655288192501,1.0,569.8999999999978,853.0,0.8683622926884019,70.8894,35.1106,0.0,0.0,0.0,17283,14.1,,,,,,,,,,,,
EDF,nominal_hetero,0,7.928216,2.976744,4.951472,2.7546856,0.22205840000000002,0.0069272,0.005772666666666666,0.2062027379349046,0.006000000052154064,0.7727742195129395,0.9601,0.9601,0.5064184752791171,0.012013892842908387,0.01551246537396122,2.0,4.0,7.0,0.5723950030306191,4.8442,101.1558,0.0,0.0,0.0,17563,11.5,,,,,,,,,,,,
EDF,load_surge,0,7.890418400000001,2.8697456000000003,5.0206728,2.789508,0.08023759999999999,0.0050880000000000005,0.004711111111111111,0.19648712345679012,0.008949999697506428,0.7621446251869202,0.9601,0.9601,0.5726438713405484,0.018879586447154015,0.028846153846153848,2.0,5.0,9.0,0.6208533941667271,4.7594,101.2406,0.0,0.0,0.0,17797,12.0,,,,,,,,,,,,
EDF,edge_fade,0,6.562849600000002,1.6719296,4.8909199999999995,1.6134792,0.0584504,0.0,0.0,0.11345195847362514,0.2084749937057495,0.80158931016922,0.9601,0.9601,0.5737138516603411,0.2886794634597595,0.3819614235262157,3.0,21.0,36.0,0.5800717967505472,2.703,103.297,0.0,0.0,0.0,17296,11.0,,,,,,,,,,,,
EDF,bursty_urllc,0,9.3596304,1.3864144,7.973216,1.3183984,0.068016,0.005976,0.005533333333333334,0.09566141975308641,0.10107500106096268,0.8372955918312073,0.9601,0.9601,0.5089146426414913,0.1828337104072398,0.22962962962962963,3.0,18.0,39.0,0.509139688495987,2.2472,103.7528,0.0,0.0,0.0,28288,7.6,,,,,,,,,,,,
EDF,mixed_dynamic,0,8.145040000000002,1.7101359999999999,6.4349039999999995,1.689784,0.020352000000000002,0.0,0.0,0.11558947306397305,0.1302500069141388,0.7810590863227844,0.9594666666666666,0.9594666666666666,0.5774111161939923,0.23355493351994402,0.30455026455026457,3.0,23.0,45.0,0.5597247932597162,2.8514,103.1486,0.0,0.0,0.0,22864,7.6,,,,,,,,,,,,
